;;;;;REF HLDP;REF LF;DÇtails;Comparatifs;;;;;;;;;;;;;;;;;DÇtails;;;;;;;;;DÇtails;;;;;;;DÇtails;;;;FOURNISSEURS;;;;;;;;;;;;;;;;Grossistes;;;1,08;;Client ->;Chaånes;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP FixÇ";PV LF Orange bleue _;"RÇduction /  PV LF OR BL";Produit spÇcifique;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";PV Public _;PV Public $;RÇduction / PV Public;PV LF Revendeur _;PV LF Revendeur $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI272;;Disques Bumper Crossfit 20Kg B;;;0,0221;21,00;;piäce;;Disques Bumper Crossfit 20Kg B;;;20 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol.;http://i.imgur.com/czwfew2.jpg;BUMPER PLATE 20KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 20KGS;;;;;;;$35,87;$35,00;$31,00;$41,60;;;;;;;;;;;;;;42,08 _;;WOHLSTAND;PC;$35,00;$42,00;13%;$40,23;37,25 _;$48,28;44,70 _;;;;;13%;$40,23;37,25 _;$48,28;44,70 _;40%;$58,33;54,01 _;$70,00;64,81 _;62,11 _;88,75 _;40%;$58,33;54,01 _;$70,00;64,81 _;88,75 _;40%;$100,57;93,12 _;$62,08;57,48 _;88,75 _;23%;$234,84;217,44 _;$90,91;84,18 _;156,07 _;240,90 _;$260,17;81%;180,68 _;$195,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI273;;Disques Bumper Crossfit 25Kg B;;;0,0250;26,25;;piäce;;Disques Bumper Crossfit 25Kg B;;;25 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol.;http://i.imgur.com/czwfew2.jpg;BUMPER PLATE 25KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 25KGS;;;;;;;$44,58;$43,75;$38,00;$52,00;;;;;;;;;;;;;;53,04 _;;WOHLSTAND;PC;$43,75;$52,50;13%;$50,29;46,56 _;$60,34;55,87 _;;;;;13%;$50,29;46,56 _;$60,34;55,87 _;40%;$72,92;67,52 _;$87,50;81,02 _;77,64 _;110,94 _;40%;$72,92;67,52 _;$87,50;81,02 _;110,94 _;40%;$125,72;116,41 _;$77,60;71,86 _;110,94 _;23%;$293,55;271,80 _;$113,64;105,22 _;195,09 _;300,52 _;$324,56;81%;225,39 _;$243,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW599;1508;Disques Noirs A Poignees 1,25 Kg Rond;;;0,0009;1,29;1,25;piäce;3760223791099;Disques Rond Noir Ö PoignÇes 1,25 Kg;DISQUES NOIRS A POIGNEES 1,25 KG ROND;;1,25 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 1,25KG;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 1,25KG;;Polybag;Rubber;;;MUSCULATION;$1,28;$1,14;$1,18;$1,23;;;;;$1,28;$1,42;;$1,41;;$1,75;;$1,39;4,16 _;1,64 _;;WOHLSTAND;PC;$1,37;$1,64;13%;$1,57;1,46 _;$1,89;1,75 _;;4,80 _;64%;;13%;$1,57;1,46 _;$1,89;1,75 _;50%;$2,76;2,56 _;$3,32;3,07 _;2,94 _;6,46 _;56%;$3,11;2,88 _;$3,74;3,46 _;6,46 _;56%;$2,81;2,60 _;$3,31;3,07 _;6,46 _;23%;$11,13;10,30 _;$4,31;3,99 _;12,24 _;8,00 _;$8,64;78%;4,80 _;$5,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW600;1511;Disques Noirs A Poignees 2,5 Kg Rond;;;0,0019;2,58;2,50;piäce;3760223791105;Disques Rond Noir Ö PoignÇes 2,5 Kg;DISQUES NOIRS A POIGNEES 2,5 KG ROND;;2,5 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 2,5KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 2,5KGS;;Polybag;Rubber;;;MUSCULATION;$2,55;$2,28;$2,35;$2,46;;;;;$2,57;$2,83;;$2,83;;$3,50;;$2,78;8,32 _;3,24 _;;WOHLSTAND;PC;$2,74;$3,29;23%;$3,56;3,29 _;$4,27;3,95 _;;7,98 _;50%;x;13%;$3,15;2,92 _;$3,78;3,50 _;50%;$5,53;5,12 _;$6,63;6,14 _;5,89 _;9,25 _;48%;$5,27;4,88 _;$6,32;5,85 _;9,25 _;48%;$6,56;6,08 _;$5,61;5,19 _;9,25 _;23%;$22,25;20,61 _;$8,62;7,98 _;17,53 _;16,60 _;$17,93;79%;9,96 _;$10,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW601;1513;Disques Noirs A Poignees 5 Kg Rond;;;0,0035;5,15;5,00;piäce;3760223792621;Disques Rond Noir Ö PoignÇes 5 Kg;DISQUES NOIRS A POIGNEES 5 KG ROND;;5 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 5KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 5KGS;;Polybag;Rubber;;;MUSCULATION;$5,11;$4,55;$4,70;$4,92;;;;;$5,15;$5,67;;$5,65;;$7,00;;$5,55;16,64 _;6,51 _;;WOHLSTAND;PC;$5,48;$6,58;23%;$7,12;6,59 _;$8,54;7,91 _;;15,96 _;50%;x;13%;$6,30;5,83 _;$7,56;7,00 _;50%;$11,06;10,24 _;$13,27;12,28 _;11,77 _;18,50 _;48%;$10,54;9,76 _;$12,65;11,71 _;18,50 _;48%;$13,12;12,15 _;$11,22;10,39 _;18,50 _;23%;$44,51;41,21 _;$17,23;15,95 _;35,05 _;33,20 _;$35,86;79%;19,92 _;$21,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW602;1509;Disques Noirs A Poignees 10 Kg Rond;;;0,0070;11,62;10,00;piäce;3760223791594;Disques Rond Noir Ö PoignÇes 10 Kg;DISQUES NOIRS A POIGNEES 10 KG ROND;;10 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 10KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 10KGS;;Polybag;Rubber;;;MUSCULATION;$10,21;$9,10;$9,40;$9,84;;;;;$10,29;$11,33;;$11,30;;$14,00;;$11,10;33,28 _;12,92 _;;WOHLSTAND;PC;$10,95;$13,14;23%;$14,22;13,17 _;$17,06;15,80 _;;31,94 _;51%;x;13%;$12,59;11,65 _;$15,10;13,98 _;50%;$22,09;20,46 _;$26,51;24,55 _;23,52 _;36,97 _;48%;$21,06;19,50 _;$25,27;23,40 _;36,97 _;48%;$26,22;24,28 _;$22,41;20,75 _;36,97 _;23%;$88,94;82,35 _;$34,43;31,88 _;70,05 _;66,20 _;$71,50;79%;39,72 _;$42,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW603;1510;Disques Noirs A Poignees 15 Kg Rond;;;0,0103;15,50;15,00;piäce;3760223792607;Disques Rond Noir Ö PoignÇes 15 Kg;DISQUES NOIRS A POIGNEES 15 KG ROND;;15 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 15KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 15KGS;;Polybag;Rubber;;;MUSCULATION;$15,32;$13,65;$14,10;$14,76;;;;;$15,44;$17,00;;$16,95;;$21,00;;$16,65;49,92 _;19,41 _;;WOHLSTAND;PC;$16,43;$19,72;23%;$21,34;19,76 _;$25,61;23,71 _;;47,92 _;51%;x;13%;$18,89;17,49 _;$22,66;20,98 _;50%;$33,15;30,69 _;$39,78;36,83 _;35,30 _;55,47 _;48%;$31,60;29,26 _;$37,92;35,11 _;55,47 _;48%;$39,34;36,43 _;$33,63;31,14 _;55,47 _;23%;$133,45;123,56 _;$51,66;47,83 _;105,10 _;99,40 _;$107,35;79%;59,64 _;$64,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW604;1512;Disques Noirs A Poignees 20 Kg Rond;;;0,0099;20,80;20,00;piäce;3760223791112;Disques Rond Noir Ö PoignÇes 20 Kg;DISQUES NOIRS A POIGNEES 20 KG ROND;;20 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 20KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 20KGS;;Polybag;Rubber;;;MUSCULATION;$20,42;$18,20;$18,80;$19,68;;;;;$20,58;$22,67;;$22,60;;$28,00;;$22,20;66,56 _;25,76 _;;WOHLSTAND;PC;$20,92;$25,10;23%;$27,17;25,16 _;$32,60;30,19 _;;85,28 _;65%;;13%;$24,05;22,26 _;$28,86;26,72 _;50%;$42,21;39,08 _;$50,65;46,90 _;44,94 _;132,26 _;62%;$55,05;50,97 _;$66,06;61,17 _;132,26 _;62%;$38,78;35,91 _;$58,59;54,25 _;132,26 _;23%;$169,92;157,33 _;$65,78;60,90 _;250,59 _;133,20 _;$143,86;80%;79,92 _;$86,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW605;1541;Disques Noirs A Poignees 25 Kg Rond;;;0,0102;27,00;25,00;piäce;3760223792614;Disques Rond Noir Ö PoignÇes 25 Kg;DISQUES NOIRS A POIGNEES 25 KG ROND;;25 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;MUSCULATION;UtilisÇ dans les exercices de crossfit mais aussi dans la prÇparation aux sports de combat, le disque rond est un outil complet qui vous permettra de travailler efficacement et de maniäre harmonieuse chaque groupe musculaire.;http://www.leaderfit-equipement.com/images/eboutique/20140827111100.jpg;BLACK OLYMPIC PLATE W/STEEL RING 25KGS;unit;Polybag;Rubber;;Used in crossfit exercises but also in combat sports preparation, the round disc is a complete tool that will allow you an efficient and harmonious work of each muscle group.;STRENGTHENING;BLACK OLYMPIC PLATE W/STEEL RING 25KGS;;Polybag;Rubber;;;MUSCULATION;$25,57;$23,00;$23,50;$24,60;;;;;$25,74;$28,33;;$28,25;;$35,00;;$27,75;;;;WOHLSTAND;PC;$27,38;$32,86;13%;$31,47;29,14 _;$37,77;34,97 _;;;;;13%;$31,47;29,14 _;$37,77;34,97 _;42%;$47,00;43,51 _;$56,39;52,22 _;50,04 _;82,63 _;45%;$49,78;46,09 _;$59,74;55,31 _;82,63 _;45%;$69,94;64,76 _;$52,98;49,06 _;82,63 _;23%;$189,19;175,18 _;$73,24;67,81 _;198,31 _;133,20 _;$143,86;74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STW605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW379;2319;Disque Pump 1,25Kg Rose;;;0,0010;1,30;1,25;piäce;3760223792515;Disque Pump 1,25Kg;DISQUE PUMP 1,25KG ROSE;;1,25 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;FITNESS;Disque pump en caoutchouc, vendu Ö l'unitÇ, pour complÇter les kits ou pour un usage simple. Confortable grÉce Ö ses deux poignÇes.;http://www.leaderfit-equipement.com/images/eboutique/20140827105507.jpg;PLATE FOR PUMP 1,25KG;unit;Polybag;Rubber;;Rubber pump disc, sold individually, to complete pump sets or for a simple use. Comfortable thanks to its two handles.;FITNESS;PLATE FOR PUMP 1,25KG;;Polybag;Rubber;;;REEDUCATION/FITNESS;$1,49;$1,35;;$1,40;;;$1,50;;$1,47;;;$1,66;$1,54;$1,58;;;;;;WOHLSTAND;PC;$1,48;$1,78;13%;$1,70;1,58 _;$2,04;1,89 _;;2,42 _;22%;;13%;$1,70;1,58 _;$2,04;1,89 _;42%;$2,54;2,35 _;$3,05;2,82 _;2,35 _;2,76 _;36%;$2,31;2,14 _;$2,78;2,57 _;2,76 _;30%;$5,67;5,25 _;$2,25;2,08 _;2,76 _;23%;$10,23;9,47 _;$3,96;3,67 _;5,76 _;3,72 _;$4,02;49%;2,42 _;$2,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,35;;;;;;;;;;;;;;;;;;;;;RFW379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW380;2318;Disque Pump 2,5Kg Jaune;;;0,0018;2,65;2,50;piäce;3760223792546;Disque Pump 2,5Kg;DISQUE PUMP 2,5KG JAUNE;;2,5 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;FITNESS;Disque pump en caoutchouc, vendu Ö l'unitÇ, pour complÇter les kits ou pour un usage simple. Confortable grÉce Ö ses deux poignÇes.;http://www.leaderfit-equipement.com/images/eboutique/20140827105531.jpg;PLATE FOR PUMP 2,5KGS;unit;Polybag;Rubber;;Rubber pump disc, sold individually, to complete pump sets or for a simple use. Comfortable thanks to its two handles.;FITNESS;PLATE FOR PUMP 2,5KGS;;Polybag;Rubber;;;REEDUCATION/FITNESS;$2,97;$2,70;;$2,80;;;$3,00;;$2,94;;;$3,32;$3,08;$3,16;;;;;;WOHLSTAND;PC;$2,95;$3,54;13%;$3,39;3,14 _;$4,07;3,77 _;;4,89 _;23%;;13%;$3,39;3,14 _;$4,07;3,77 _;42%;$5,06;4,69 _;$6,08;5,63 _;4,69 _;5,50 _;36%;$4,61;4,27 _;$5,53;5,12 _;5,50 _;30%;$11,30;10,47 _;$4,49;4,15 _;5,50 _;23%;$20,38;18,87 _;$7,89;7,31 _;11,48 _;7,53 _;$8,13;50%;4,89 _;$5,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,69;;;;;;;;;;;;;;;;;;;;;RFW380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW381;2315;Disque Pump 5Kg Vert;;;0,0030;5,20;5,00;piäce;3760223791082;Disque Pump 5Kg;DISQUE PUMP 5KG VERT;;5 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;FITNESS;Disque pump en caoutchouc, vendu Ö l'unitÇ, pour complÇter les kits ou pour un usage simple. Confortable grÉce Ö ses deux poignÇes.;http://www.leaderfit-equipement.com/images/eboutique/20140827105559.jpg;PLATE FOR PUMP 5KGS;unit;Polybag;Rubber;;Rubber pump disc, sold individually, to complete pump sets or for a simple use. Comfortable thanks to its two handles.;FITNESS;PLATE FOR PUMP 5KGS;;Polybag;Rubber;;;REEDUCATION/FITNESS;$5,95;$5,40;;$5,60;;;$6,00;;$5,88;;;$6,64;$6,15;$6,32;;;;;;WOHLSTAND;PC;$5,90;$7,08;13%;$6,78;6,28 _;$8,14;7,54 _;;9,78 _;23%;;13%;$6,78;6,28 _;$8,14;7,54 _;42%;$10,13;9,38 _;$12,15;11,25 _;9,38 _;10,99 _;36%;$9,22;8,54 _;$11,06;10,24 _;10,99 _;30%;$22,61;20,93 _;$8,97;8,31 _;10,99 _;23%;$40,77;37,75 _;$15,78;14,61 _;22,97 _;15,05 _;$16,25;50%;9,78 _;$10,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,38;;;;;;;;;;;;;;;;;;;;;RFW381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW382;2316;Disque Pump 10Kg Bleu;;;;10,50;10,00;piäce;3760223792522;Disque Pump 10Kg;DISQUE PUMP 10KG BLEU;;10 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;FITNESS;Disque pump en caoutchouc, vendu Ö l'unitÇ, pour complÇter les kits ou pour un usage simple. Confortable grÉce Ö ses deux poignÇes.;http://i.imgur.com/0IrzLTF.jpg;PLATE FOR PUMP 5KGS;unit;Polybag;Rubber;;Rubber pump disc, sold individually, to complete pump sets or for a simple use. Comfortable thanks to its two handles.;FITNESS;PLATE FOR PUMP 5KGS;;;;;;;$10,70;$10,20;;$11,20;;;;;;;;;;;;;;;;WOHLSTAND;PC;$11,80;$14,16;13%;$13,56;12,56 _;$16,28;15,07 _;;;;;13%;$13,56;12,56 _;$16,28;15,07 _;30%;$16,86;15,61 _;$20,23;18,73 _;17,95 _;21,98 _;36%;$18,44;17,07 _;$22,13;20,49 _;21,98 _;30%;$45,21;41,86 _;$17,94;16,61 _;21,98 _;23%;$67,86;62,84 _;$26,27;24,32 _;45,94 _;15,05 _;$16,25;0%;9,78 _;$10,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RFW382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFA822;;Disques Pump Ronds NÇoprene 500Gr;;;;;;piäce;;Disques Pump Ronds NÇoprene 500Gr;;;0,5 Kgs;;Pending;;;;;;100pcs;Polybag;FITNESS;Disque pump en neoprene vendu Ö l'unitÇ, pour complÇter les kits ou pour un usage simple. Confortable grÉce Ö ses deux poignÇes.;http://i.imgur.com/xC8QdJr.png;NEOPRENE PLATE 500GR;unit;Polybag;;;Neoprene pump plate, sold individually, to complete the kits or for a single use. Easy to use wit its two handles.;FITNESS;NEOPRENE PLATE 500GR;;;;;;;$0,54;;;;;;;;;;;$0,54;;;;;;;;RECORD;PC;$1,80;$2,16;13%;$2,07;1,92 _;$2,48;2,30 _;;;;;13%;$2,07;1,92 _;$2,48;2,30 _;40%;$3,00;2,78 _;$3,60;3,33 _;3,19 _;;40%;$3,00;2,78 _;$3,60;3,33 _;;40%;$5,17;4,79 _;$3,19;2,96 _;;23%;$12,08;11,18 _;$4,68;4,33 _;9,13 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RFA822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STW683;3995;Disque Pump 1,25Kg Noir;;;0,0010;1,29;1,25;;3760223794199;;DISQUE PUMP 1,25KG NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$1,27;$1,27;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;STW683;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
